{1, 5, 32, 43}
{1, 5, 23, 41}
{1, 5, 11, 26}
{1, 5, 9, 48}
{1, 4, 9, 35}
{1, 2, 11, 50}
{1, 2, 5, 50}
{1, 2, 5, 11}
{46, 47, 48}
{42, 47, 48}
{42, 46, 48}
{41, 49, 50}
{41, 45, 50}
{41, 42, 45}
{38, 41, 50}
{38, 39, 45}
{35, 46, 48}
{35, 38, 45}
{34, 43, 47}
{34, 40, 47}
{34, 39, 40}
{33, 42, 50}
{33, 42, 44}
{33, 36, 44}
{33, 35, 37}
{32, 43, 49}
{32, 40, 44}
{32, 33, 49}
{32, 33, 43}
{32, 33, 40}
{31, 42, 50}
{31, 41, 50}
{31, 32, 44}
{31, 32, 43}
{31, 32, 37}
{31, 32, 33}
{30, 37, 48}
{30, 34, 40}
{30, 33, 37}
{29, 47, 48}
{29, 39, 40}
{29, 37, 48}
{28, 47, 48}
{28, 46, 48}
{28, 42, 50}
{28, 32, 38}
{28, 31, 32}
{27, 49, 50}
{27, 38, 45}
{27, 36, 44}
{27, 34, 49}
{27, 34, 43}
{27, 34, 40}
{27, 33, 44}
{27, 30, 34}
{26, 41, 44}
{26, 34, 41}
{26, 33, 45}
{26, 33, 34}
{25, 37, 47}
{25, 35, 38}
{25, 32, 49}
{25, 31, 32}
{25, 30, 37}
{25, 26, 34}
{24, 49, 50}
{24, 47, 49}
{24, 44, 47}
{24, 39, 49}
{24, 37, 47}
{24, 27, 49}
{23, 41, 42}
{23, 26, 44}
{23, 26, 34}
{23, 26, 33}
{23, 26, 28}
{23, 25, 32}
{22, 36, 41}
{22, 36, 38}
{22, 35, 38}
{22, 28, 38}
{22, 24, 47}
{22, 24, 41}
{22, 23, 41}
{21, 38, 45}
{21, 37, 48}
{21, 37, 47}
{21, 33, 37}
{21, 30, 37}
{21, 23, 26}
{21, 22, 38}
{20, 32, 44}
{20, 32, 43}
{20, 32, 33}
{20, 28, 42}
{20, 25, 32}
{19, 49, 50}
{19, 39, 49}
{19, 27, 49}
{19, 24, 49}
{18, 41, 45}
{18, 34, 36}
{18, 32, 45}
{18, 32, 33}
{18, 31, 32}
{18, 30, 34}
{18, 29, 45}
{18, 29, 36}
{18, 28, 42}
{18, 24, 45}
{18, 24, 29}
{18, 24, 28}
{17, 30, 38}
{17, 26, 44}
{17, 26, 33}
{17, 25, 26}
{17, 22, 30}
{17, 22, 24}
{16, 34, 47}
{16, 34, 40}
{16, 30, 34}
{16, 28, 42}
{16, 28, 38}
{16, 27, 34}
{16, 20, 28}
{16, 17, 43}
{15, 35, 40}
{15, 35, 36}
{15, 30, 36}
{15, 28, 35}
{15, 24, 47}
{15, 23, 47}
{15, 23, 36}
{15, 23, 30}
{15, 21, 23}
{15, 18, 36}
{15, 17, 47}
{15, 17, 30}
{14, 32, 44}
{14, 32, 33}
{14, 31, 32}
{14, 28, 42}
{14, 25, 32}
{14, 21, 29}
{14, 21, 23}
{14, 20, 21}
{14, 19, 29}
{14, 19, 21}
{14, 17, 30}
{14, 17, 29}
{14, 17, 22}
{14, 17, 20}
{14, 17, 19}
{14, 16, 28}
{14, 15, 17}
{13, 49, 50}
{13, 48, 49}
{13, 46, 48}
{13, 36, 48}
{13, 36, 37}
{13, 23, 26}
{13, 21, 37}
{13, 19, 49}
{13, 17, 43}
{13, 17, 40}
{13, 16, 28}
{12, 22, 41}
{12, 22, 38}
{12, 22, 36}
{12, 22, 24}
{12, 20, 32}
{12, 20, 28}
{12, 20, 22}
{12, 19, 20}
{12, 17, 22}
{12, 14, 20}
{11, 37, 47}
{11, 27, 49}
{11, 27, 46}
{11, 27, 37}
{11, 23, 26}
{11, 20, 46}
{11, 20, 27}
{11, 14, 46}
{11, 14, 27}
{11, 12, 20}
{10, 34, 47}
{10, 34, 40}
{10, 30, 34}
{10, 27, 34}
{10, 18, 34}
{10, 16, 28}
{9, 46, 48}
{9, 34, 40}
{9, 31, 48}
{9, 31, 38}
{9, 24, 31}
{9, 21, 38}
{9, 20, 24}
{9, 19, 20}
{9, 13, 36}
{9, 13, 31}
{9, 12, 20}
{8, 39, 40}
{8, 26, 48}
{8, 26, 33}
{8, 22, 39}
{8, 22, 27}
{8, 22, 24}
{8, 15, 47}
{8, 15, 39}
{8, 15, 27}
{8, 12, 22}
{7, 49, 50}
{7, 38, 45}
{7, 32, 49}
{7, 26, 48}
{7, 26, 33}
{7, 26, 28}
{7, 25, 26}
{7, 24, 49}
{7, 23, 26}
{7, 22, 36}
{7, 19, 49}
{7, 17, 26}
{7, 15, 36}
{7, 11, 26}
{7, 10, 45}
{7, 10, 36}
{7, 10, 16}
{7, 8, 26}
